inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,barcodes,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,custom_split,stock_type,zone,shown_quantity,passthrough
9635773332,Jorma Kaukonen's 85th Birthday,"The Masonic, San Francisco, CA",2025-12-05T19:00:00,1C0062A7EAA34D34,9,FLR-1,4,"1,2,3,4,5,6,7,8,9",,-tnow -tmplus -stub,"xfer, Limited View",AWS,119.60000000000001,0,0,92,Y,Y,2025-06-14,N,N,NEVERLEAVEONE,"2,3,4,5,6,7,8,9",MOBILE_TRANSFER,N,N,
9635773333,Jorma Kaukonen's 85th Birthday,"The Masonic, San Francisco, CA",2025-12-05T19:00:00,1C0062A7EAA34D34,4,FLR-1,1,"2,3,4,5",,-tnow -tmplus -stub,"xfer, Limited View",AWS,119.60000000000001,0,0,92,Y,Y,2025-06-14,N,N,NEVERLEAVEONE,"2,4",MOBILE_TRANSFER,N,N,
9635773334,Jorma Kaukonen's 85th Birthday,"The Masonic, San Francisco, CA",2025-12-05T19:00:00,1C0062A7EAA34D34,8,FLR-1,2,"1,2,3,4,5,6,7,8",,-tnow -tmplus -stub,"xfer, Limited View",AWS,119.60000000000001,0,0,92,Y,Y,2025-06-14,N,N,NEVERLEAVEONE,"2,3,4,5,6,7,8",MOBILE_TRANSFER,N,N,
9635773335,Jorma Kaukonen's 85th Birthday,"The Masonic, San Francisco, CA",2025-12-05T19:00:00,1C0062A7EAA34D34,8,FLR-1,3,"1,2,3,4,5,6,7,8",,-tnow -tmplus -stub,"xfer, Limited View",AWS,119.60000000000001,0,0,92,Y,Y,2025-06-14,N,N,NEVERLEAVEONE,"2,3,4,5,6,7,8",MOBILE_TRANSFER,N,N,
9635773336,Jorma Kaukonen's 85th Birthday,"The Masonic, San Francisco, CA",2025-12-05T19:00:00,1C0062A7EAA34D34,9,FLR-1,5,"1,2,3,4,5,6,7,8,9",,-tnow -tmplus -stub,"xfer, Limited View",AWS,98.15,0,0,75.5,Y,Y,2025-06-14,N,N,NEVERLEAVEONE,"2,3,4,5,6,7,8,9",MOBILE_TRANSFER,N,N,
9635773337,Jorma Kaukonen's 85th Birthday,"The Masonic, San Francisco, CA",2025-12-05T19:00:00,1C0062A7EAA34D34,9,FLR-1,6,"1,2,3,4,5,6,7,8,9",,-tnow -tmplus -stub,"xfer, Limited View",AWS,98.15,0,0,75.5,Y,Y,2025-06-14,N,N,NEVERLEAVEONE,"2,3,4,5,6,7,8,9",MOBILE_TRANSFER,N,N,
9635773339,Jorma Kaukonen's 85th Birthday,"The Masonic, San Francisco, CA",2025-12-05T19:00:00,1C0062A7EAA34D34,9,FLR-1,7,"1,2,3,4,5,6,7,8,9",,-tnow -tmplus -stub,"xfer, Limited View",AWS,98.15,0,0,75.5,Y,Y,2025-06-14,N,N,NEVERLEAVEONE,"2,3,4,5,6,7,8,9",MOBILE_TRANSFER,N,N,
9635773342,Jorma Kaukonen's 85th Birthday,"The Masonic, San Francisco, CA",2025-12-05T19:00:00,1C0062A7EAA34D34,3,FLR-1,8,"10,11,12",,-tnow -tmplus -stub,"xfer, Limited View",AWS,98.15,0,0,75.5,Y,Y,2025-06-14,N,N,NEVERLEAVEONE,3,MOBILE_TRANSFER,N,N,
9635773344,Jorma Kaukonen's 85th Birthday,"The Masonic, San Francisco, CA",2025-12-05T19:00:00,1C0062A7EAA34D34,2,FLR-1,9,"10,11",,-tnow -tmplus -stub,"xfer, Limited View",AWS,98.15,0,0,75.5,Y,Y,2025-06-14,N,N,NEVERLEAVEONE,2,MOBILE_TRANSFER,N,N,
9635773346,Jorma Kaukonen's 85th Birthday,"The Masonic, San Francisco, CA",2025-12-05T19:00:00,1C0062A7EAA34D34,8,FLR-1,10,"2,3,4,5,6,7,8,9",,-tnow -tmplus -stub,"xfer, Limited View",AWS,98.15,0,0,75.5,Y,Y,2025-06-14,N,N,NEVERLEAVEONE,"2,3,4,5,6,7,8",MOBILE_TRANSFER,N,N,
9635773348,Jorma Kaukonen's 85th Birthday,"The Masonic, San Francisco, CA",2025-12-05T19:00:00,1C0062A7EAA34D34,8,FLR-1,11,"2,3,4,5,6,7,8,9",,-tnow -tmplus -stub,"xfer, Limited View",AWS,98.15,0,0,75.5,Y,Y,2025-06-14,N,N,NEVERLEAVEONE,"2,3,4,5,6,7,8",MOBILE_TRANSFER,N,N,
9635773350,Jorma Kaukonen's 85th Birthday,"The Masonic, San Francisco, CA",2025-12-05T19:00:00,1C0062A7EAA34D34,8,FLR-1,12,"2,3,4,5,6,7,8,9",,-tnow -tmplus -stub,"xfer, Limited View",AWS,98.15,0,0,75.5,Y,Y,2025-06-14,N,N,NEVERLEAVEONE,"2,3,4,5,6,7,8",MOBILE_TRANSFER,N,N,
9635773351,Jorma Kaukonen's 85th Birthday,"The Masonic, San Francisco, CA",2025-12-05T19:00:00,1C0062A7EAA34D34,9,FLR-2,4,"1,2,3,4,5,6,7,8,9",,-tnow -tmplus -stub,xfer,AWS,119.60000000000001,0,0,92,Y,Y,2025-06-14,N,N,NEVERLEAVEONE,"2,3,4,5,6,7,8,9",MOBILE_TRANSFER,N,N,
